outcome,age,gender,location,income_bracket,purchase_history_count,purchase_history_items,browsing_behavior_count,browsing_behavior_items,seasonal_factors,budget_range,shopping_condition,browsing_count,primary_categories_count,primary_categories_items
trending recommendations,27,female,urban area,middle income,3,clothing_item_8|accessories_item_17|accessories_item_26,6,browsed_accessories_item_44|browsed_clothing_item_38|browsed_accessories_item_5|browsed_clothing_item_5|browsed_clothing_item_42|browsed_accessories_item_9,holiday shopping season,$100-300,looking for a specific item with detailed requirements,6,2,clothing|accessories
trending recommendations,22,female,suburban area,low income,4,electronics_item_95|electronics_item_69|gaming_item_27|gaming_item_70,7,browsed_gaming_item_36|browsed_gaming_item_40|browsed_electronics_item_45|browsed_electronics_item_25|browsed_electronics_item_17|browsed_electronics_item_4|browsed_gaming_item_13,regular shopping period,$500+,shopping for a gift with time constraints,7,2,electronics|gaming
personalized recommendations,42,male,suburban area,upper middle income,7,sports_item_41|sports_item_23|sports_item_51|sports_item_41|fitness_item_95|fitness_item_89|fitness_item_82,6,browsed_sports_item_21|browsed_fitness_item_18|browsed_fitness_item_24|browsed_sports_item_37|browsed_sports_item_38|browsed_sports_item_44,winter clothing season,$10-50,following up on previously viewed items,6,2,sports|fitness
trending recommendations,18,male,suburban area,high income,5,travel_item_61|travel_item_76|experiences_item_45|experiences_item_21|experiences_item_34,8,browsed_travel_item_19|browsed_travel_item_25|browsed_travel_item_11|browsed_travel_item_15|browsed_travel_item_44|browsed_travel_item_18|browsed_experiences_item_33|browsed_travel_item_50,regular shopping period,$10-50,comparing prices across multiple options,8,2,travel|experiences
trending recommendations,28,female,rural area,upper middle income,7,home_goods_item_46|home_goods_item_41|home_goods_item_71|home_goods_item_42|kitchen_item_53|kitchen_item_98|kitchen_item_82,6,browsed_kitchen_item_39|browsed_home_goods_item_37|browsed_home_goods_item_25|browsed_kitchen_item_24|browsed_kitchen_item_29|browsed_kitchen_item_1,regular shopping period,$10-50,shopping for a gift with time constraints,6,2,home_goods|kitchen
trending recommendations,40,male,urban area,high income,5,beauty_item_9|beauty_item_6|health_item_38|health_item_59|health_item_94,7,browsed_health_item_28|browsed_beauty_item_22|browsed_health_item_23|browsed_beauty_item_11|browsed_health_item_2|browsed_beauty_item_15|browsed_beauty_item_14,regular shopping period,$10-50,seeking recommendations for new products,7,2,beauty|health
trending recommendations,30,male,rural area,middle income,4,electronics_item_31|gaming_item_15|gaming_item_24|gaming_item_48,8,browsed_electronics_item_33|browsed_gaming_item_27|browsed_electronics_item_37|browsed_gaming_item_28|browsed_electronics_item_32|browsed_electronics_item_36|browsed_electronics_item_32|browsed_gaming_item_9,back-to-school season,$100-300,comparing prices across multiple options,8,2,electronics|gaming
trending recommendations,27,male,rural area,middle income,3,beauty_item_98|health_item_74|health_item_50,5,browsed_beauty_item_12|browsed_beauty_item_38|browsed_health_item_48|browsed_health_item_38|browsed_beauty_item_46,regular shopping period,$100-300,seeking recommendations for new products,5,2,beauty|health
trending recommendations,20,female,suburban area,low income,5,sports_item_25|sports_item_5|sports_item_77|fitness_item_79|fitness_item_22,8,browsed_sports_item_24|browsed_sports_item_42|browsed_sports_item_11|browsed_sports_item_18|browsed_fitness_item_23|browsed_fitness_item_26|browsed_sports_item_34|browsed_sports_item_48,regular shopping period,$10-50,looking for a specific item with detailed requirements,8,2,sports|fitness
personalized recommendations,19,male,suburban area,middle income,7,electronics_item_53|electronics_item_53|electronics_item_39|books_item_96|books_item_82|books_item_95|books_item_36,4,browsed_electronics_item_7|browsed_electronics_item_12|browsed_electronics_item_49|browsed_books_item_39,winter clothing season,$500+,browsing casually without specific intent,4,2,electronics|books
trending recommendations,20,male,urban area,upper middle income,5,electronics_item_5|electronics_item_86|books_item_43|books_item_12|books_item_7,3,browsed_books_item_12|browsed_electronics_item_44|browsed_books_item_40,regular shopping period,$500+,seeking recommendations for new products,3,2,electronics|books
personalized recommendations,57,female,suburban area,upper middle income,7,beauty_item_71|beauty_item_74|beauty_item_17|health_item_44|health_item_88|health_item_98|health_item_7,3,browsed_beauty_item_41|browsed_health_item_2|browsed_beauty_item_11,spring cleaning time,$300-500,looking for a specific item with detailed requirements,3,2,beauty|health
personalized recommendations,29,male,suburban area,low income,6,travel_item_65|travel_item_78|experiences_item_92|experiences_item_84|experiences_item_48|experiences_item_24,6,browsed_experiences_item_31|browsed_travel_item_11|browsed_travel_item_15|browsed_travel_item_27|browsed_travel_item_18|browsed_experiences_item_15,regular shopping period,$50-100,browsing casually without specific intent,6,2,travel|experiences
personalized recommendations,52,female,rural area,low income,4,electronics_item_42|electronics_item_65|gaming_item_20|gaming_item_7,8,browsed_gaming_item_29|browsed_electronics_item_15|browsed_gaming_item_19|browsed_gaming_item_10|browsed_electronics_item_22|browsed_electronics_item_31|browsed_electronics_item_36|browsed_gaming_item_17,holiday shopping season,$300-500,seeking recommendations for new products,8,2,electronics|gaming
personalized recommendations,35,male,suburban area,upper middle income,6,home_goods_item_5|home_goods_item_12|home_goods_item_8|home_goods_item_30|kitchen_item_3|kitchen_item_68,6,browsed_home_goods_item_22|browsed_home_goods_item_9|browsed_kitchen_item_46|browsed_home_goods_item_21|browsed_home_goods_item_2|browsed_home_goods_item_38,regular shopping period,$50-100,looking for a specific item with detailed requirements,6,2,home_goods|kitchen
trending recommendations,23,female,rural area,middle income,3,electronics_item_42|electronics_item_77|books_item_100,8,browsed_books_item_32|browsed_books_item_5|browsed_books_item_34|browsed_electronics_item_12|browsed_electronics_item_33|browsed_electronics_item_27|browsed_books_item_6|browsed_books_item_15,back-to-school season,$100-300,shopping for a gift with time constraints,8,2,electronics|books
personalized recommendations,25,male,urban area,high income,7,beauty_item_14|beauty_item_3|beauty_item_38|health_item_30|health_item_49|health_item_66|health_item_91,3,browsed_health_item_32|browsed_beauty_item_12|browsed_beauty_item_33,spring cleaning time,$500+,following up on previously viewed items,3,2,beauty|health
personalized recommendations,40,female,suburban area,upper middle income,6,electronics_item_35|electronics_item_30|electronics_item_10|electronics_item_26|gaming_item_100|gaming_item_99,7,browsed_electronics_item_10|browsed_electronics_item_11|browsed_gaming_item_30|browsed_gaming_item_27|browsed_electronics_item_35|browsed_gaming_item_50|browsed_electronics_item_29,summer vacation period,$300-500,shopping for a gift with time constraints,7,2,electronics|gaming
trending recommendations,19,male,suburban area,high income,5,sports_item_26|fitness_item_95|fitness_item_99|fitness_item_13|fitness_item_67,8,browsed_sports_item_31|browsed_fitness_item_44|browsed_fitness_item_21|browsed_sports_item_41|browsed_sports_item_48|browsed_sports_item_17|browsed_fitness_item_41|browsed_fitness_item_13,summer vacation period,$10-50,following up on previously viewed items,8,2,sports|fitness
personalized recommendations,28,male,suburban area,low income,8,sports_item_43|sports_item_93|sports_item_15|sports_item_62|fitness_item_62|fitness_item_27|fitness_item_76|fitness_item_21,8,browsed_fitness_item_2|browsed_sports_item_3|browsed_sports_item_37|browsed_sports_item_9|browsed_sports_item_37|browsed_sports_item_4|browsed_sports_item_17|browsed_sports_item_34,spring cleaning time,$500+,seeking recommendations for new products,8,2,sports|fitness
personalized recommendations,25,male,urban area,high income,6,books_item_4|books_item_49|books_item_88|books_item_55|education_item_46|education_item_28,4,browsed_education_item_18|browsed_education_item_10|browsed_books_item_40|browsed_books_item_42,summer vacation period,$300-500,comparing prices across multiple options,4,2,books|education
personalized recommendations,31,male,suburban area,low income,7,beauty_item_11|beauty_item_15|beauty_item_94|beauty_item_19|health_item_40|health_item_44|health_item_59,4,browsed_health_item_23|browsed_health_item_7|browsed_health_item_47|browsed_health_item_21,holiday shopping season,$100-300,looking for a specific item with detailed requirements,4,2,beauty|health
trending recommendations,19,male,rural area,upper middle income,5,home_goods_item_73|kitchen_item_97|kitchen_item_43|kitchen_item_56|kitchen_item_14,3,browsed_home_goods_item_17|browsed_home_goods_item_33|browsed_home_goods_item_29,summer vacation period,$300-500,comparing prices across multiple options,3,2,home_goods|kitchen
